epoch,train_huber_loss,val_huber_loss,val_mae_solidVolume,val_rmse_solidVolume,val_r2_solidVolume,val_mae_surfaceVolume,val_rmse_surfaceVolume,val_r2_surfaceVolume,val_mae_supportSurfaceArea,val_rmse_supportSurfaceArea,val_r2_supportSurfaceArea,val_mae_aligned_dim_x,val_rmse_aligned_dim_x,val_r2_aligned_dim_x,val_mae_aligned_dim_y,val_rmse_aligned_dim_y,val_r2_aligned_dim_y,val_mae_aligned_dim_z,val_rmse_aligned_dim_z,val_r2_aligned_dim_z,lr,epoch_time_s
44,0.065147,0.055341,0.02898740,0.06512990,0.91702577,0.00723344,0.01591099,0.89958354,0.02723020,0.04787078,0.59153593,0.11072496,0.17248319,0.89393153,0.05960071,0.09381624,0.95367907,0.09385929,0.14259696,0.86368006,2.67e-04,39.89
45,0.065957,0.056793,0.04610632,0.09925482,0.80729823,0.00853983,0.01841668,0.86546576,0.02127786,0.04069808,0.70476984,0.09785473,0.14951336,0.92030103,0.06334513,0.10517143,0.94178742,0.09320123,0.15406801,0.84086570,2.65e-04,39.83
46,0.063841,0.046402,0.02546598,0.05978886,0.93007652,0.00613554,0.01296062,0.93337117,0.02220609,0.04312195,0.66855637,0.08631767,0.13632257,0.93374353,0.07507616,0.11719730,0.92771363,0.09499035,0.15581702,0.83723216,2.64e-04,39.87
47,0.063595,0.051929,0.02524435,0.05974013,0.93019047,0.00765133,0.01645002,0.89266453,0.02256978,0.04371330,0.65940362,0.12441563,0.19575065,0.86338475,0.06891990,0.11150002,0.93457088,0.08373346,0.14089055,0.86692314,2.62e-04,39.89
48,0.064620,0.047809,0.02561708,0.05943264,0.93090724,0.00639598,0.01403844,0.92182864,0.02408803,0.04536611,0.63316060,0.09834354,0.15450233,0.91489349,0.06041929,0.09815984,0.94929055,0.08590287,0.14003372,0.86853682,2.61e-04,39.91
49,0.061821,0.049668,0.03471233,0.07428908,0.89204759,0.00767557,0.01646250,0.89250166,0.02162430,0.04256668,0.67703721,0.09406470,0.14869116,0.92117518,0.05389205,0.08913661,0.95818487,0.09617442,0.15517189,0.83857717,2.59e-04,39.93
50,0.064171,0.069592,0.04916664,0.10746709,0.77409107,0.01095866,0.02264342,0.79662651,0.02426851,0.04586561,0.62503797,0.12119381,0.19395144,0.86588457,0.06706882,0.10850739,0.93803594,0.08634564,0.13767086,0.87293590,2.58e-04,39.88
51,0.063593,0.049886,0.02713443,0.06708639,0.91196581,0.00744926,0.01650027,0.89200785,0.02138459,0.04177258,0.68897491,0.09068564,0.14070140,0.92941871,0.06167481,0.09776022,0.94970260,0.10273388,0.16736075,0.81222140,2.56e-04,39.87
52,0.060296,0.050097,0.02542616,0.05907281,0.93174135,0.00582861,0.01166417,0.94603424,0.02193369,0.04356322,0.66173829,0.08689982,0.14115876,0.92895912,0.09079954,0.12812161,0.91360949,0.10791603,0.17817779,0.78716358,2.54e-04,39.89
53,0.059336,0.049883,0.02563598,0.05870327,0.93259268,0.00644448,0.01371330,0.92540769,0.02236681,0.04317196,0.66778720,0.08910837,0.14440706,0.92565194,0.05795219,0.09533215,0.95217005,0.11163937,0.18531442,0.76977247,2.53e-04,39.86
